OBJECTID,BG20,CT20,LABEL,ShapeSTArea,ShapeSTLength
23207,4087252,408725,BG 2,8730327.54149801,16092.4844892355
23208,4087253,408725,BG 3,7692105.56385104,13069.2642118781
23209,4088001,408800,BG 1,4631288.61321095,12862.5043103922
23210,4088002,408800,BG 2,11607817.4932156,19202.5467722266
23211,4088003,408800,BG 3,3046557.10476419,7928.78728605526
23212,4089001,408900,BG 1,9354858.01393165,14644.8626065035
23213,4089002,408900,BG 2,12157914.7271323,17279.6188317358
23214,4089003,408900,BG 3,12474223.6174727,17280.1364002756
23215,4090001,409000,BG 1,16711665.464311,21050.7620200197
23216,4090002,409000,BG 2,6294165.73690148,10298.648552845
23217,4090003,409000,BG 3,6550219.04306113,15420.4919345214
23218,4090004,409000,BG 4,55143126.3657655,44898.311716621
23219,4091001,409100,BG 1,3136397.11973462,7147.15119453441
23220,4091002,409100,BG 2,4328613.02593185,8762.35044204566
23221,4091003,409100,BG 3,4615745.6203347,10264.0659430714
23222,4091004,409100,BG 4,4683306.43055712,9212.24597135719
23223,4300031,430003,BG 1,3248047.64779712,8295.59682180561
23224,4300032,430003,BG 2,122975222.351816,79167.7882025099
23225,4300033,430003,BG 3,2321674.27454828,8640.02762503714
23226,4300041,430004,BG 1,5909970.15039931,11809.9815725559
23227,4300042,430004,BG 2,2933172.56319264,6968.2290257495
23228,4300043,430004,BG 3,3218440.23412296,8032.34633813722
23229,4300051,430005,BG 1,3609526.20971999,8853.01213281248
23230,4300052,430005,BG 2,7537802.85595741,13936.0759919906
23231,4301011,430101,BG 1,4943258.128551,9608.58915416365
23232,4301012,430101,BG 2,8577211.98621686,11812.5191071114
23233,4301013,430101,BG 3,7897403.34545188,13177.2106771393
23234,4301021,430102,BG 1,7456335.3727796,12194.106009845
23235,4301022,430102,BG 2,2816756.71061097,9053.3266526621
23236,4301023,430102,BG 3,3582970.11575532,9244.58581944716
23237,4302001,430200,BG 1,55572355.7480123,36351.3726503973
23238,4303011,430301,BG 1,5610739.5534504,14919.6785107244
23239,4303012,430301,BG 2,155956767.349468,71488.5151847734
23240,4303013,430301,BG 3,64833523.8633205,50593.1396038971
23241,4303014,430301,BG 4,36724768.4442846,31681.2862918775
23242,4303021,430302,BG 1,3507394.05764077,7971.13591217076
23243,4303022,430302,BG 2,6034270.93324542,11451.6469371635
23244,4303023,430302,BG 3,3259398.49460455,7591.87946171469
23245,4303024,430302,BG 4,3816583.00151714,9932.62033173888
23246,4303025,430302,BG 5,4252695.26818336,8485.73380845957
23247,4304001,430400,BG 1,24088668.1623733,30647.6788073534
23248,4304002,430400,BG 2,4127045.7011873,8163.05993146023
23249,4304003,430400,BG 3,5820591.24292511,14909.228973928
23250,4304004,430400,BG 4,4722398.29381562,8727.55654287406
23251,4305011,430501,BG 1,20079269.5817907,23890.2550513226
23252,4305012,430501,BG 2,5687613.38791559,11656.5096604608
23253,4305013,430501,BG 3,2441238.59710355,8792.55674796418
23254,4305014,430501,BG 4,22482629.4245743,30041.2044930376
23255,4305021,430502,BG 1,5676620.2884941,11551.4242508855
23256,4305022,430502,BG 2,7355948.67487908,13514.0310339375
23257,4305023,430502,BG 3,5408440.16013071,9636.60743896228
23258,4305024,430502,BG 4,2619774.76740873,6502.92255511826
23259,4305025,430502,BG 5,4368177.01695077,8470.95208183835
23260,4305026,430502,BG 6,6257228.93522008,12131.8194274005
23261,4306001,430600,BG 1,10577875.5983566,13650.1240179584
23262,4306002,430600,BG 2,16894486.9913953,24584.0824218541
23263,4306003,430600,BG 3,12361824.5558048,18239.6664821344
23264,4307011,430701,BG 1,13511824.2064704,22629.4154118198
23265,4307012,430701,BG 2,6620596.40316855,14238.6982490096
23266,4307013,430701,BG 3,5227729.68713877,9154.4402370169
23267,4307014,430701,BG 4,6832177.5449977,11679.3468546435
23268,4307211,430721,BG 1,33541269.4999334,23738.0169099865
23269,4307212,430721,BG 2,6056958.87610574,13763.7086263153
23270,4307213,430721,BG 3,4440320.88470511,12923.9996268453
